time,phase,joint,joint_state_position,controller_actual,controller_desired,controller_error,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6
1780232843.1330411,moving,Joint6,0.0,0.0,0.0296897936482962,0.0296897936482962,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.1867645,moving,Joint6,0.0,0.0,0.0296897936482962,0.0296897936482962,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.1879764,after,Joint6,0.0,0.0,0.0296897936482962,0.0296897936482962,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.2385526,after,Joint6,0.0,0.0,0.029995665874561227,0.029995665874561227,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.2896967,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.341332,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.395769,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.4505785,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.505548,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.5607812,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.6116643,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.6660247,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.7192907,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.7737408,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.8303397,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.8846045,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.9393907,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.9907224,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232844.044295,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232844.098821,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232844.153054,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232844.2075567,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232844.2620797,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232844.324039,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232844.3946888,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232844.4615119,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232844.5161574,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232844.569791,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232844.6235137,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232844.6756213,after,Joint6,0.0,0.0,0.03,0.03,0.0,0.1089,0.6703,0.0,-1.4174,0.0
